Decay 0.1
1 1 8637.7736717315
1 2 7788.983275629972
1 3 7546.989017301926
1 4 7629.2023832168015
1 5 7742.20823856571
1 6 7830.324398390343
1 7 7820.72770634689
1 8 7624.095601913392
1 9 7882.280380744644
1 10 8076.127327203069
2 1 7960.766099397545
2 2 8001.4890097297675
2 3 7754.148710245851
2 4 7909.110058970727
2 5 7896.359229044709
2 6 7766.490186213007
2 7 7703.164750840321
2 8 7859.176374074423
2 9 8136.438357201914
2 10 8062.388891669
3 1 8585.602604382851
3 2 7881.42603201113
3 3 7957.0131793428745
3 4 8386.459450771614
3 5 7804.369732489983
3 6 8085.165035044699
3 7 7803.912714382649
3 8 8136.438357201914
3 9 8164.297763305933
3 10 7883.431125713266
4 1 9017.403375648384
4 2 7813.973671279588
4 3 8043.920508309123
4 4 8025.243030433033
4 5 8260.364973429692
4 6 8081.178271806392
4 7 7906.689521392115
4 8 8126.305813426964
4 9 8073.4530146378975
4 10 7882.280380744644
5 1 8950.397973034942
5 2 8537.675999477933
5 3 8192.5433505414
5 4 8284.815740648124
5 5 7830.519114747567
5 6 8116.56646670857
5 7 7906.689521392115
5 8 8090.342692041007
5 9 8314.810179993956
5 10 8115.804578741963
6 1 10221.160867603645
6 2 8657.391269455493
6 3 7986.979353495532
6 4 8411.170369398247
6 5 8002.775450583762
6 6 8015.111421540713
6 7 7859.176374074423
6 8 8090.342692041007
6 9 8293.46627947959
6 10 8115.804578741963
7 1 10596.103712679474
7 2 8782.827666413838
7 3 8730.318263718502
7 4 8193.615512987672
7 5 7971.2827688719
7 6 7903.159251281731
7 7 7859.176374074423
7 8 8174.769464063319
7 9 8293.46627947959
7 10 8115.804578741963
8 1 10131.303926103137
8 2 8941.622252689549
8 3 8414.115186599633
8 4 8275.40907629781
8 5 8010.0644224281095
8 6 8257.2835568695
8 7 7859.176374074423
8 8 7996.706549945515
8 9 8293.46627947959
8 10 8115.804578741963
9 1 10464.109961106364
9 2 8758.043465555542
9 3 8481.416383258076
9 4 8173.635878732034
9 5 8005.0060007068205
9 6 8194.873727668893
9 7 8372.24217291189
9 8 7996.706549945515
9 9 8292.735262966002
9 10 8115.804578741963
10 1 10165.791489366537
10 2 8359.590087839408
10 3 8405.719857247945
10 4 8173.635878732034
10 5 8062.68660233513
10 6 7903.159251281731
10 7 8361.476881170673
10 8 7996.706549945515
10 9 8292.735262966002
10 10 8174.769464063319
Decay 0.3
1 1 8082.345112524215
1 2 7660.715510830096
1 3 7702.8148627740575
1 4 7722.74370084932
1 5 7767.234202412041
1 6 7722.234812751656
1 7 8019.259331085326
1 8 7624.095601913392
1 9 7949.426159269967
1 10 8019.259331085326
2 1 7893.050558812723
2 2 7607.682969217845
2 3 7955.8996532156
2 4 7960.272568408959
2 5 8024.056401288083
2 6 8253.956173856377
2 7 7703.164750840321
2 8 7883.431125713266
2 9 8164.297763305933
2 10 8105.513180033672
3 1 8813.115430534905
3 2 7854.868716569032
3 3 8100.05643444967
3 4 8046.892294663464
3 5 7831.1268846593575
3 6 7883.431125713266
3 7 7872.454049806753
3 8 8115.804578741963
3 9 8253.956173856377
3 10 7948.486048242635
4 1 9741.478880086695
4 2 8281.956760956302
4 3 8019.959913528882
4 4 8025.243030433033
4 5 8152.724400656145
4 6 7933.060429709411
4 7 7906.689521392115
4 8 8129.295448535228
4 9 8009.992338960797
4 10 8115.804578741963
5 1 10671.436559771902
5 2 8396.066313662026
5 3 9023.361492752205
5 4 8025.243030433033
5 5 7896.359229044709
5 6 7933.060429709411
5 7 7859.176374074423
5 8 8174.769464063319
5 9 8293.46627947959
5 10 8115.804578741963
6 1 9894.998028862066
6 2 9146.735606577833
6 3 8162.3820339560925
6 4 8193.615512987672
6 5 7971.2827688719
6 6 8181.9382841288725
6 7 7859.176374074423
6 8 7724.885526904774
6 9 8293.46627947959
6 10 8115.804578741963
7 1 10674.679962340908
7 2 8178.44777350756
7 3 8471.92333624728
7 4 8173.635878732034
7 5 7853.64659328083
7 6 8245.398312499157
7 7 8372.24217291189
7 8 7996.706549945515
7 9 8163.338423137215
7 10 8115.804578741963
8 1 10319.526941662887
8 2 8410.89228746447
8 3 8332.821621685584
8 4 8173.635878732034
8 5 8089.606684526545
8 6 8257.2835568695
8 7 8372.24217291189
8 8 7996.706549945515
8 9 8292.735262966002
8 10 8115.804578741963
9 1 10397.912565234463
9 2 8686.39189320581
9 3 8507.447959245903
9 4 7894.370262817857
9 5 8212.308745628181
9 6 7982.192269301496
9 7 8361.476881170673
9 8 7996.706549945515
9 9 8314.810179993956
9 10 8244.179222784192
10 1 11515.470635674965
10 2 8794.674491147056
10 3 8328.913609349353
10 4 8138.61177707952
10 5 8062.68660233513
10 6 8245.398312499157
10 7 8194.873727668893
10 8 7996.706549945515
10 9 8314.810179993956
10 10 8235.741031067024
Decay 0.5
1 1 8203.112663751399
1 2 7787.8978794388095
1 3 7507.237881010671
1 4 7746.699740180347
1 5 7820.72770634689
1 6 7763.999913321799
1 7 7624.095601913392
1 8 7724.84356545572
1 9 8019.259331085326
1 10 8019.259331085326
2 1 8393.72997916744
2 2 8155.192527409846
2 3 7911.897731022696
2 4 8510.013582272639
2 5 8116.448307088265
2 6 7997.136319096667
2 7 7803.912714382649
2 8 7975.823281429064
2 9 8164.297763305933
2 10 7920.272330623613
3 1 9494.29192149387
3 2 8508.998029030246
3 3 7929.398547054937
3 4 8283.428820614716
3 5 8095.503824440909
3 6 8116.56646670857
3 7 7906.689521392115
3 8 8129.295448535228
3 9 8073.4530146378975
3 10 7882.280380744644
4 1 10305.919284569682
4 2 8655.586625570708
4 3 8321.927364131949
4 4 8238.891915869943
4 5 7831.1268846593575
4 6 8015.111421540713
4 7 7859.176374074423
4 8 8174.769464063319
4 9 8314.810179993956
4 10 8115.804578741963
5 1 10641.059912806071
5 2 8787.699744948311
5 3 8209.417393994565
5 4 8369.325843262592
5 5 7971.2827688719
5 6 8181.9382841288725
5 7 7859.176374074423
5 8 7724.885526904774
5 9 8293.46627947959
5 10 8115.804578741963
6 1 9570.326744275095
6 2 8883.01263255262
6 3 8239.394730794296
6 4 8173.635878732034
6 5 8092.003541744597
6 6 8245.398312499157
6 7 8372.24217291189
6 8 7996.706549945515
6 9 8293.46627947959
6 10 8115.804578741963
7 1 11092.943195961107
7 2 8696.168177270858
7 3 8185.178486820305
7 4 8138.61177707952
7 5 8212.308745628181
7 6 8245.398312499157
7 7 8361.476881170673
7 8 7996.706549945515
7 9 8292.735262966002
7 10 8174.769464063319
8 1 11225.873936293687
8 2 9097.188058740907
8 3 7946.129609862467
8 4 8218.02944113523
8 5 8062.68660233513
8 6 8245.398312499157
8 7 8361.476881170673
8 8 7996.706549945515
8 9 8314.810179993956
8 10 8244.179222784192
9 1 10739.86674235154
9 2 8694.586961469044
9 3 8419.65487622169
9 4 8352.111602106099
9 5 8062.68660233513
9 6 8245.398312499157
9 7 8361.476881170673
9 8 8181.644474214345
9 9 8314.810179993956
9 10 8194.873727668893
10 1 12761.635337020081
10 2 9653.711422199463
10 3 8350.174067809412
10 4 8199.003717374831
10 5 8062.68660233513
10 6 8152.039404876825
10 7 8361.476881170673
10 8 8252.541870077599
10 9 8314.810179993956
10 10 8194.873727668893
Decay 0.7
1 1 8412.811042875464
1 2 7728.11186641358
1 3 7804.260128580792
1 4 7747.740532833648
1 5 8067.689313462789
1 6 8206.34187877416
1 7 7703.164750840321
1 8 8019.259331085326
1 9 8035.633081784903
1 10 7795.049616916444
2 1 10235.847236161066
2 2 8869.834979404102
2 3 7955.329280796997
2 4 8341.80222384324
2 5 8100.738573429846
2 6 8081.178271806392
2 7 7906.689521392115
2 8 8129.295448535228
2 9 8213.666114039072
2 10 8116.100888089506
3 1 9972.188072133933
3 2 8086.954578755338
3 3 8720.154660398579
3 4 8238.891915869943
3 5 7831.1268846593575
3 6 8181.9382841288725
3 7 7859.176374074423
3 8 8174.769464063319
